Date and Time of initial call,Date and time of Ranger response,Borough,Property,Location,Species Description,Call Source,Species Status,Animal Condition,Duration of Response,Age,Animal Class,311SR Number,Final Ranger Action,# of Animals,PEP Response,Animal Monitored,Rehabilitator,Hours spent monitoring,Police Response,ESU Response,ACC Intake Number
5/9/19 11:30,5/9/19 15:00,Manhattan,Central Park,"Large Bald Cyprus on South East Corner of Harlem Meer, close to 106th St and 5th Ave",American Goldfinch,Public,Native,DOA,0.5,Adult,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
4/17/19 13:00,4/17/19 13:30,Manhattan,Central Park,Near Boathouse Restaurant Parking Lot,American Robin,Central,Native,Injured,1,Adult,Birds,1-1-1706102711,Rehabilitator,1,FALSE,FALSE,Wild Bird Fund,,FALSE,FALSE,
5/22/19 14:00,5/22/19 14:15,Manhattan,Central Park,5th Ave and 108th St,American Robin,Public,Native,Healthy,0.5,Infant,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
5/17/19 16:15,5/17/19 16:15,Manhattan,Madison Square Park,n/a,Bat,Employee,Native,,0.2,Adult,Small Mammals-RVS,,Advised/Educated others,1,TRUE,FALSE,,,FALSE,FALSE,
5/14/19 15:54,5/14/19 16:00,Manhattan,Central Park,72nd St/ 5th ave wall,Bat,Public,Native,N/A,0.5,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
11/21/18 9:30,11/21/18 10:30,Manhattan,Central Park,"near 100th St Pool, closer to 104th street, on rock outcrop",Bat,Central,Native,N/A,1,Adult,Small Mammals-RVS,1-1-1647717122,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
11/13/18 15:45,11/13/18 15:45,Manhattan,Mercer Playground,Mercer st & Bleeker st,Bat,Central,Native,N/A,2,Adult,Small Mammals-RVS,,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
4/7/19 15:00,4/7/19 15:20,Manhattan,Inwood Hill Park,"Gaelic field, southeastern corner closer to the Marsh side, at the base of a London Plane tree GPS (40.873125, -73.921672)",Big Brown Bat,Public,Native,Healthy,0.25,Adult,Small Mammals-RVS,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
7/24/18 13:00,7/24/18 15:00,Manhattan,Highbridge Recreation Center,,Blue Jay,Employee,Native,Healthy,1,Juvenile,Birds,,Relocated/Condition Corrected,1,FALSE,FALSE,,,FALSE,FALSE,
10/31/18 10:40,10/31/18 16:00,Manhattan,Morningside park,311 caller did not leave detailed location,Blue Jay,Central,Native,N/A,0.5,Adult,Birds,1-1-1638391689,Unfounded,1,FALSE,FALSE,,,FALSE,FALSE,
